VC Firm,Stage,New meetings?,New terms sheets?,Areas of Interest,Check Size,Lead/Co-invest,Notes,Location,Last Modified
,,,,,,,,,
*Disclaimer,,,,,,," User generated list, not moderated by DocSend beyond merging duplicate entries and removing abusive language. This list does not reflect DocSend's views and opinions and we do not guarantee or imply that it's accurate.",,2020-04-17T19:23:20.000Z
** Created by DocSend,,,,Want to add a VC? Go here: https://www.docsend.com/index/active-vc-list/,,,Copyright © 2020 DocSend. All Rights Reserved.,,2020-05-02T22:26:13.000Z
7BC Venture Capital,Series A,Taking new meetings,Offering new term sheets,"AI, FinTech, Software Infrastructure & B2B software",,,,"San Francisco, California, United States",2020-05-02T22:28:13.000Z
406 Ventures,Seed,Taking new meetings,Offering new term sheets,"SaaS, Security, Media/Content, Female Founders",$2M - $5M,"Lead, Co-Invest",,"Boston, Massachusetts, United States",2020-05-02T22:30:08.000Z
Next Ventures,Series A,Taking new meetings,Offering new term sheets,"Minority Founders, E-Commerce, Gaming/Sports, Healthcare, Wellness",$500K-$5M,,Looking at companies with recurring revenue,"London, England, United Kingdom",2020-05-02T22:32:29.000Z
Blossom Capital,Series A,Taking new meetings,Offering new term sheets,,,,,"London, England, United Kingdom",2020-05-02T22:32:29.000Z
General Catalyst,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,,,,,"Cambridge, Massachusetts, United States",2020-05-02T22:32:29.000Z
Battery Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,"Application software, IT Infrastructure, consumer internet, IT, tech-enable services",,,,"Boston, Massachusetts, United States",2020-05-02T22:32:29.000Z
Icon Ventures,"Series B, Series C",Taking new meetings,Offering new term sheets,,,,,"Palo Alto, California, United States",2020-05-02T22:32:29.000Z
Sierra Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,Investing in Next Generation Enterprise and Emerging Technologies,,,More about our Thesis - https://www.sierraventures.com/thesis/,"San Mateo, California, United States",2020-05-02T22:32:29.000Z
AgFunder,"Seed, Series A, Series B",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Foodtech and Agtech,$50-$5M,,Looking at companies from pre-revenue to 250K+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
AlleyCorp,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$100K-$5M,,Looking at companies from the idea stage to 50K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Arbor Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,"E-Commerce, Marketplace, Fintech, Insuretech, Cybersecurity, Healthcare, AI/ML",$100K-$10M,"Lead, Co-Invest",Looking at companies from pre-revenue to 500K+ in MRR,"Hong Kong, Hong Kong Island, Hong Kong",2020-05-02T22:32:29.000Z
Big Idea Ventures,Pre-Seed,Taking new meetings,Offering new term sheets,Food/Beverage,$100K-500K,,Looking at companies from pre-product to those that have recurring revenue,"New York, New York, United States",2020-05-02T22:32:29.000Z
Brand Foundry Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Direct To Consumer, Consumer Software, CPG, Female Founders, E-Commerce, AR/VR, Gaming/Sports, Marketplace, Media and Entertainment, Food/Beverage, Healthcare, Wellness, Future of Work, Sustainability",$500K-$5M,"Lead, Co-Invest",Looking at companies that are pre-revenue,"New York, New York, United States",2020-05-02T22:32:29.000Z
Capital Technologies,"Series B, Series C",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$5M-$10M+,,Looking at companies with recurring revenue with  500k+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Civilization Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,BioTech/Healthcare,,Lead,Typically the lead investor of the first institutional round for a company,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Comcast Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Direct To Consumer, Consumer Software, CPG, E-Commerce, Marketplace, PropTech, Social Media, Fintech, Insuretech, Food/Beverage, Healthcare, Wellness, Future of Work, Mobility, Sustainability",$50-$10M+,"Lead, Co-Invest",Looking at companies from the pre-product stage through to those with 500k+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Contour Ventures,Seed,Taking new meetings,Offering new term sheets,Fintech/SaaS/Digital Media,$500K-$5M,Lead,Looking at in the B2B/SaaS space,"New York, New York, United States",2020-05-02T22:32:29.000Z
Creative Ventures,Seed,Taking new meetings,Offering new term sheets,"Enterprise Software, AR/VR, Food/Beverage, Hardware, Healthcare, Mobility, Sustainability, AI/ML, Life Sciences",$50-$5M,,Looking at companies from pre-product to those that have shown product-market fit,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Darling Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Enterprise Software, Minority Founders, Female Founders, PropTech, Social Impact, Legal, Fintech, Insuretech, Healthcare, Future of Work, Mobility, Sustainability, Life Sciences, Cloud Computing, AI/ML",$100K-500K,,Looking at companies from pre-revenue to those with 500K+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Data Point Capital,Series A,Taking new meetings,Offering new term sheets,"Direct To Consumer, Enterprise Software, E-Commerce, Marketplace, Fintech, Cybersecurity, AI/ML",$1M-5M,,Looking at companies with 100K+ in MRR,"Boston, Massachusetts, United States",2020-05-02T22:32:29.000Z
EchoVC Partners,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Industry/Sector Agnostic, Minority Founders, Female Founders",$50-$5M,"Lead, Co-Invest",Looking at companies who have shown product-market fit to those with 15K+ in MRR,"Lagos, Lagos, Nigeria",2020-05-02T22:32:29.000Z
Empowerment Capital,Series A,Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$100K-$5M,,Looking at companies with recurring revenue up to 250K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Evolution VC Partners,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$50-$1M,,Looking at companies with recurring revenue up to 250K+ in MRR,"New York, New York, United States",2020-05-02T22:32:29.000Z
Fin VC,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Enterprise Software, PropTech, Fintech, Insuretech, Cloud Computing, AI/ML, FinTech - b2b & SaaS Focus",$50-$10M+,"Lead, Co-Invest",Looking at companies with recurring revenue up to 100K+ in MRR,"San Francisco, California, United States",2020-05-02T22:32:29.000Z
Forefront Venture Partners,"Seed, Series A",Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,$500K-1M,,Looking at companies that are pre-product to those that have shown product-market fit,"Boca Raton, Florida, United States",2020-05-02T22:32:29.000Z
