"HQ","Fund Name","Linkedin","#","Website","Size","Size (€)","Size ($)","Geographic Focus","Sectors","Initial Ticket (EUR)","Stage","Date Raised","Month"
"Finland","Cloudberry Venture Fund","https://www.linkedin.com/company/cloudberry-vc/","I","cloudberry.vc","€30 000 000","€30 000 000","$35 148 000","Europe","Semiconductors; Advanced Materials","€400k–€1M","Pre-Seed, Seed","2025-12-18","Dec"
"Denmark","PSV Hafnium","https://www.linkedin.com/company/psv-venturehouse/","I","psv.xyz","€60 000 000","€60 000 000","$70 296 000","Nordics","DeepTech; AI; ClimateTech","€100k–€1M","Pre-Seed, Seed","2025-12-17","Dec"
"Ireland","Baseline Venture Fund","","I","baseline.community","€5 000 000","€5 000 000","$5 858 000","Ireland; Europe","AI; SaaS","€100k","Pre-Seed","2025-12-16","Dec"
"Spain","Kibo Ventures Fund IV","","IV","kiboventures.com","€100 000 000","€100 000 000","$117 160 000","Europe","B2B; DeepTech; AI; Cyber Security; Robotics; Enterprise software","€2–6M","Seed, Series A","2025-12-15","Dec"
"Greece","Investing For Purpose Fund (IFP)","","I","investing-for-purpose.e…","€25 400 000","€25 400 000","$29 758 640","Greece","ImpactTech; ClimateTech; EdTech","~€0.2–0.5M","Pre-Seed, Seed","2025-12-11","Dec"
"France","makesense Seed II","https://www.linkedin.com/company/makesense/","II","france.makesense.org","€25 000 000","€25 000 000","$29 290 000","France; Europe","Circular Economy; ImpactTech","€200k–€500k","Pre-Seed","2025-12-11","Dec"
"Poland","Cofounder VC Fund I","","I","n/a (Warsaw-based firm)","€12 000 000","€12 000 000","$14 059 200","CEE","Agnostic; Enterprise software; ImpactTech; Healthtech","€1–3M","Series A, Series B","2025-12-11","Dec"
"United Kingdom","Twin Track Ventures","","I","twintrack.vc","€5 800 000","€5 800 000","$6 795 280","Europe; US","DeepTech; Defence; Dual Use","€0.2–0.6M","Pre-Seed, Seed","2025-12-11","Dec"
"Germany","U2V Fund I","","I","u2v.vc","€60 000 000","€60 000 000","$70 296 000","Europe","DeepTech; ClimateTech; AI","–","Pre-Seed, Seed","2025-12-10","Dec"
"Lithuania","Aneli Capital","","I","anelicapital.com","€35 000 000","€35 000 000","$41 006 000","Baltics; Poland; C…","Robotics; Energy; SpaceTech; DeepTech; Agnostic; Industry 4.0","€1M–€5M","Seed, Series A","2025-12-10","Dec"
"Belgium","KBC Start it Fund I","https://www.linkedin.com/company/start-it-accelerate-kbc/","I","startit.be","€100 000 000","€100 000 000","$117 160 000","Belgium","Agnostic","Up to €0.3M","Pre-Seed, Seed","2025-12-09","Dec"
"Luxembourg","Catalpa Health Fund I","","I","catalpa.vc","€30 000 000","€30 000 000","$35 148 000","Europe","Healthtech; MedTech","€0.3–1.5M","Pre-Seed, Seed, Series A","2025-12-09","Dec"
"Poland","VO2 Ventures Fund I","","I","(n/a)","€19 200 000","€19 200 000","$22 494 720","Poland","Agnostic","(~€0.7M)","Seed","2025-12-09","Dec"
"Poland","betacluster Poland.One Fund I","","I","betacluster.vc","€19 000 000","€19 000 000","$22 260 400","Poland; CEE","AI; Cyber Security; Healthtech; Enterprise software; Dual Use; Industry 4.0; ClimateTech","€0.3–0.7M","Pre-Seed, Seed, Series A","2025-12-09","Dec"
"Poland","Stelo Ventures Fund I","","I","https://stelo.vc/","€16 400 000","€16 400 000","$19 214 240","Poland; CEE","Agnostic; AI; HR Tech","€0.7–1.2M","Pre-Seed","2025-12-09","Dec"
"Germany","FoodLabs Fund","","III","foodlabs.com","€105 000 000","€105 000 000","$123 018 000","Europe","FoodTech; AgriTech; Healthtech; ClimateTech","€100k–€2M","Pre-Seed, Seed","2025-12-08","Dec"
"United Kingdom","Expedition Growth Capital Fund","https://www.linkedin.com/company/expeditiongrowthcapital/","III","expedition.capital","€323 000 000","€323 000 000","$378 426 800","Europe","Enterprise software; SaaS; AI","€8.6–21.5M","Growth","2025-12-02","Dec"
"Netherlands","Volve Capital Fund","","I","volve.capital","€9 000 000","€9 000 000","$10 544 400","Benelux; DACH","SaaS; Agnostic; ClimateTech; ImpactTech","€150k–€500k","Pre-Seed","2025-12-02","Dec"
"United Kingdom","6 Degrees Capital","","III","6degrees.vc","€154 000 000","€154 000 000","$178 054 800","Europe","Enterprise software; AI; Fintech","€1–5M","Seed, Series A","2025-11-28","Nov"
"Portugal","Indico Capital Partners","","III","indicocapital.com","€125 000 000","€125 000 000","$144 525 000","SE","AI; Web3; IoT; Enterprise software; DeepTech; Fintech; Cyber Security; SpaceTech; ClimateTech","€100k–€10M","Pre-Seed, Seed, Series A, Series B","2025-11-28","Nov"
"Germany","Future Energy Ventures","https://www.linkedin.com/company/futureenergyventures/","II","fev.vc","€205 000 000","€205 000 000","$237 021 000","Europe; Global","ClimateTech; Energy","€5M–€10M","Series A, Series B","2025-11-27","Nov"
"United Kingdom","Baobab Ventures","","I","baobabventures.vc","€12 900 000","€12 900 000","$14 914 980","Europe; Global","AI; DeepTech; Defence; Robotics","€300k","Pre-Seed, Seed","2025-11-26","Nov"
"France","Clover","","I","https://www.cloverfund…","€30 000 000","€30 000 000","$34 686 000","Europe; US","AI; EdTech; HR Tech; Future of work","€0.1M–€0.2M","Pre-Seed, Seed","2025-11-25","Nov"
"United Kingdom","Firgun Ventures","","I","https://www.firgunvent…","$70 000 000","€60 543 159","$70 000 000","Global","DeepTech","N/A","Series A, Series B","2025-11-24","Nov"
"Hungary","Day One Capital","","III","https://www.dayoneca…","€45 000 000","€45 000 000","$52 029 000","CEE","Agnostic","€0.5M–€2.5M","Pre-Seed, Seed","2025-11-24","Nov"
"United Kingdom","Onstage","","I","onstage.vc","€12 000 000","€12 000 000","$13 874 400","Europe","Agnostic","N/A","Pre-Seed, Seed","2025-11-24","Nov"
"Netherlands","Keen Venture Partners","","I","keenventurepartners.com","€150 000 000","€150 000 000","$173 430 000","Europe","Defence; Cyber Security; SpaceTech; DeepTech","€1–€10M","Seed, Series A, Series B","2025-11-20","Nov"
"Spain","Ship2B Ventures","","II","https://ship2b.org/","€65 000 000","€65 000 000","$75 153 000","Spain","ImpactTech; ClimateTech","N/A","Seed, Series A","2025-11-20","Nov"
"France","Sofinnova Capital","","XI","sofinnovapartners.com","€650 000 000","€650 000 000","$751 530 000","Europe","Biotech; Healthtech; MedTech","N/A","Seed, Series A","2025-11-17","Nov"
"France","Teampact Ventures","https://www.linkedin.com/company/teampactventures/","I","teampact.ventures","€20 000 000","€20 000 000","$23 124 000","Europe","ClimateTech; Healthtech; DeepTech","Up to €1M","Pre-Seed, Seed","2025-11-17","Nov"
"France","XAnge","https://www.linkedin.com/company/xange-vc/","V","xange.vc","€200 000 000","€200 000 000","$231 240 000","Europe","AI; DeepTech; ClimateTech","€1M–€15M","Seed, Series A, Series B, Series C","2025-11-16","Nov"
"United Kingdom","Backed VC","","III","backed.vc","€86 000 000","€86 000 000","$99 433 200","Europe","AI; Biotech; Crypto; Industrial Tech","€430k–€4.3M","Pre-Seed, Seed","2025-11-13","Nov"
"Finland","Vendep Capital","https://www.linkedin.com/company/vendepcapital/","IV","vendep.com","€80 000 000","€80 000 000","$92 496 000","Baltics; Nordics","AI; SaaS; B2B","€100k–€3M","Pre-Seed, Seed, Series A","2025-11-13","Nov"
"Denmark","Unconventional Ventures","https://www.linkedin.com/company/unconventional-vc/","II","unconventional.vc","€52 000 000","€52 000 000","$60 122 400","Nordics","ClimateTech; ImpactTech; Healthtech","N/A","Pre-Seed, Seed","2025-11-11","Nov"
"Italy","Step Fund","","I","stepventure.eu","€30 000 000","€30 000 000","$34 686 000","Italy","Fintech; Healthtech; B2B; AI","N/A","Pre-Seed, Seed","2025-11-11","Nov"
"United Kingdom","Cocoa Ventures","","II","https://cocoavc.com/","$8 900 000","€7 697 630","$8 900 000","Europe","Agnostic","$200k–$500k","Pre-Seed, Seed","2025-11-11","Nov"
"Luxembourg","Balnord","","I","balnord.vc","€70 000 000","€70 000 000","$80 934 000","EE; Baltics; Nordics","SpaceTech; Healthtech; Industrial Tech; Defence","€0.5M–€3M","Seed, Series A","2025-11-07","Nov"
"Germany","Oyster Bay Venture Capital","","II","https://www.oysterbay…","€100 000 000","€100 000 000","$115 620 000","DACH; Nordics","FoodTech; ClimateTech; AgriTech","N/A","Seed, Series A","2025-11-06","Nov"
"Netherlands","Rubio Impact Ventures","","III","rubio.vc","€70 000 000","€70 000 000","$80 934 000","Europe","ClimateTech; ImpactTech","N/A","Series A, Series B","2025-11-06","Nov"
"Portugal","Armilar Venture Partners","","IV","armilar.com","€120 000 000","€120 000 000","$138 744 000","Europe; Spain; Pt…","AI; Cyber Security; Fintech; Healthtech; SpaceTech; Defence","N/A","Series A","2025-11-05","Nov"
"Netherlands","TIN Capital","","V","https://www.tincapital…","€80 000 000","€80 000 000","$92 496 000","Europe","Cyber Security","N/A","Series A, Series B","2025-11-05","Nov"
"Sweden","Inception Fund","","I","https://www.inception…","€21 000 000","€21 000 000","$24 280 200","Baltics; Nordics","AI; B2B","€0.1M–€0.5M","Pre-Seed, Seed","2025-11-05","Nov"
"Czech Republic","United Founders","https://www.linkedin.com/company/unitedfounders/","I","unitedfounders.vc","€80 000 000","€80 000 000","$92 496 000","Europe","MedTech; Defence; DeepTech","Up to €1M","Pre-Seed, Seed","2025-11-04","Nov"
"Netherlands","henQ","","V","henq.vc","€67 600 000","€67 600 000","$78 159 120","Europe","B2B; SaaS","€1–€10M","Seed, Series A","2025-11-04","Nov"
"Switzerland","Emerald Global Water Fund II","","II","emerald.vc","€60 000 000","€60 000 000","$69 843 652","Global","ClimateTech","–","Seed, Series A, Series B","2025-10-30","Oct"
"Germany","GIMIC Ventures I","","I","gimic.vc","€100 000 000","€100 000 000","$116 406 087","Europe; DACH","DeepTech; SaaS; Healthtech; ClimateTech","€200k–€2M","Pre-Seed, Seed, Series A","2025-10-26","Oct"
"Austria","Calm/Storm Fund II","https://www.linkedin.com/company/calmstorm/","II","calmstorm.vc","€30 000 000","€30 000 000","$34 921 826","Europe","Healthtech","€50k–€500k","Pre-Seed, Seed","2025-10-24","Oct"
"Sweden","SKF Ventures","","–","skf.com","","","","Europe","Industrial Tech; Energy; ClimateTech","–","Pre-Seed, Seed","2025-10-23","Oct"
"United Kingdom","Foresight North West Fund VIII","","VIII","foresightgroup.eu","£90 000 000","€103 257 000","$120 197 433","UK","Agnostic","£1–15M","Series C","2025-10-23","Oct"
"Spain","Abac Nest II","","II","abacnest.abaccapital…","€21 000 000","€21 000 000","$24 445 278","Spain","Fintech; AI; Healthtech; B2C","€0.05M–€0.5M","Pre-Seed, Seed","2025-10-23","Oct"
