"Fund name","Location","Description","Website","LinkedIn","Investment Stage","CB Rank (Organization)","Founded Date","Organization URL","Industries","Total Funding","Number of Investments 2025","Number of Investments 2026","Number of Investments","Number of Lead Investments","Contact Email"," ","","","","","","","","",""
"Pitango VC","Herzliya","Pitango VC is a venture capital firm that specializes in health-tech and growth investments.","http://www.pitango.com","http://www.linkedin.com/company/pitango-venture-capital","Early Stage Venture, Late Stage Venture, Seed","1 599","1993-01-01","https://www.crunchbase.com/organization/pitango-venture-capital","Software, Health Care, Information Technology, Artificial Intelligence (AI), Biotechnology, SaaS, Enterprise Software, Manufacturing, Semiconductor, Analytics","$9 708 404 900","11","2","383","120","mail@pitango.com"," ","Advertising","","","","","","","",""
"OurCrowd","Jerusalem","OurCrowd is a venture investing platform that enables institutions and individuals to invest and engage in emerging companies.","http://www.ourcrowd.com","http://www.linkedin.com/company/ourcrowd-llc","Early Stage Venture, Late Stage Venture","2 430","2013-02-01","https://www.crunchbase.com/organization/ourcrowd","Software, Artificial Intelligence (AI), Health Care, Biotechnology, Information Technology, Machine Learning, SaaS, Analytics, Cyber Security, Medical Device","$7 140 059 949","4","1","351","59","info@ourcrowd.com"," ","AgTech","","","","","","","",""
"Entrée Capital","Tel Aviv","Entrée Capital are a team of ex-serial founders managing $1.5bn across a number of funds, with offices in Tel Aviv, London, and New York.","http://www.entreecap.com","http://www.linkedin.com/company/entree-capital","Convertible Note, Early Stage Venture, Late Stage Venture, Seed","8 257","2009-09-01","https://www.crunchbase.com/organization/entree-capital","Software, Financial Services, Information Technology, Artificial Intelligence (AI), FinTech, SaaS, Payments, Cyber Security, E-Commerce, Internet","$6 283 273 331","21","2","287","102","info@entreecapital.vc"," ","Agriculture","","","","","","","",""
"Viola Ventures","Herzliya","Viola Ventures is a venture capital firm that invests in Israeli related early stage companies.","https://www.viola-group.com/fund/violaventures/","https://www.linkedin.com/company/violaventures","Early Stage Venture, Late Stage Venture, Seed","1 047","2000-01-01","https://www.crunchbase.com/organization/violaventures","Software, Artificial Intelligence (AI), Analytics, Information Technology, Internet, Financial Services, FinTech, Enterprise Software, SaaS, E-Commerce","$4 554 473 010","10","2","287","106","info@viola.vc"," ","Analytics","","","","","","","",""
"Jerusalem Venture Partners (JVP)","Jerusalem","Jerusalem Venture Partners (JVP) is a venture capital firm that invests in growth-stage companies.","http://www.jvpvc.com","http://www.linkedin.com/company/jvp","Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","21 607","1993-01-01","https://www.crunchbase.com/organization/jerusalem-venture-partners","Software, Information Technology, Internet, SaaS, Enterprise Software, Cyber Security, Analytics, Mobile, Machine Learning, Artificial Intelligence (AI)","$3 706 000 000","2","0","245","98","leel@jvpvc.com"," ","Apps","","","","","","","",""
"Peregrine Ventures","Or Yehuda","Peregrine Ventures is a a leading healthtech & life sciences venture capital fund for cross-stage investments.","http://www.peregrinevc.com","https://www.linkedin.com/company/peregrinevc/about/","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture","17 644","2001-04-01","https://www.crunchbase.com/organization/peregrine-ventures","Health Care, Medical Device, Medical, Biotechnology, Manufacturing, Health Diagnostics, Software, Artificial Intelligence (AI), Pharmaceutical, Wellness","$1 193 765 200","22","0","216","11","Amit@peregrinevc.com"," ","Artificial Intelligence (AI)","","","","","","","",""
"Vertex Ventures Israel","Tel Aviv","Vertex Ventures Israel invests early in global-minded entrepreneurs","http://www.vertexventures.co.il","https://www.linkedin.com/company/vertex-ventures-israel/","Early Stage Venture, Late Stage Venture, Seed","6 984","1997-01-01","https://www.crunchbase.com/organization/vertex-ventures-israel","Software, Information Technology, SaaS, Artificial Intelligence (AI), Cyber Security, Semiconductor, Health Care, Enterprise Software, Security, Wireless","$5 239 864 730","4","2","200","31","contact@vertexventures.co.il"," ","Automotive","","","","","","","",""
"Sequoia Capital Israel","Herzliya","Sequoia Capital Israel is a VC firm focused on seed stage, mid stage, late stage, and growth investments in the fintech sector.","https://www.sequoiacap.com/israel/","-","Early Stage Venture, Late Stage Venture","230 592","1976-01-01","https://www.crunchbase.com/organization/sequoia-capital-israel","Software, Enterprise Software, Information Technology, Security, Network Security, Internet, Analytics, Health Care, SaaS, Financial Services","$2 371 800 000","0","0","146","64","office.ceohq@gmail.com"," ","Autonomous Vehicles","","","","","","","",""
"Gemini Israel Ventures","Herzliya","Gemini is a venture capital fund that invests in early and seed-stage companies.","http://www.gemini.co.il","https://www.linkedin.com/company/gemini-israel-ventures/","Early Stage Venture, Late Stage Venture, Seed, Venture","320 997","1993-01-01","https://www.crunchbase.com/organization/gemini-israel-funds","Software, Enterprise Software, SaaS, Analytics, Information Technology, Mobile, Internet, Health Care, Advertising, Hardware","$1 983 788 400","0","0","140","26","info@gemini.co.il"," ","B2B","","","","","","","",""
"Aleph","Tel Aviv","Aleph is an early-stage VC focused on partnering with Israeli entrepreneurs to build large companies and impactful global brands.","http://aleph.vc","https://www.linkedin.com/company/aleph-vc","Early Stage Venture, Late Stage Venture, Seed, Venture","12 330","2013-07-03","https://www.crunchbase.com/organization/aleph-vc","Software, Artificial Intelligence (AI), SaaS, Financial Services, FinTech, Analytics, Information Technology, Finance, Internet, Health Care","$3 947 300 000","7","0","137","62","erica@aleph.vc"," ","Big Data","","","","","","","",""
"Vintage Investment Partners","Herzliya","Vintage is a global venture firm that invests in venture funds and startups via primary and secondary transactions.","https://www.vintage-ip.com","https://www.linkedin.com/company/vintage-investment-partners","Late Stage Venture, Secondary Market","21 905","2002-01-01","https://www.crunchbase.com/organization/vintage-investment-partners","Software, SaaS, Enterprise Software, Artificial Intelligence (AI), Information Technology, Cyber Security, Network Security, Financial Services, Cloud Computing, Internet","$4 108 985 000","6","2","136","15","-"," ","Biopharma","","","","","","","",""
"Giza Venture Capital","Tel Aviv","Giza Venture Capital is a seed and early-stage technology companies investor.","http://www.gizavc.com","http://www.linkedin.com/company/32988","Early Stage Venture, Late Stage Venture, Seed","363 069","1992-01-01","https://www.crunchbase.com/organization/giza-venture-capital","Software, Health Care, Information Technology, Internet, Medical Device, Biotechnology, Medical, Semiconductor, Manufacturing, Analytics","$1 354 673 806","0","0","128","31","Johrenk7@gmail.com"," ","Biotechnology","","","","","","","",""
