Full Name,Title,Diversity Flag,Firm,Type,Location,Crunchbase URL,LinkedIn URL
Maria Cirino,Co-Founder and Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recISFq5snVpr01cS"":[""Venture Capital""]},""foreignRowIdOrder"":[""recISFq5snVpr01cS""]}","Boston, MA",https://www.crunchbase.com/person/maria-cirino,http://www.linkedin.com/pub/maria-cirino/3/642/48a
April Underwood,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recWiOyteQD8pXh5k"":[""Angel Network""]},""foreignRowIdOrder"":[""recWiOyteQD8pXh5k""]}","San Francisco, CA",https://www.crunchbase.com/person/april-underwood,http://www.linkedin.com/in/aprilunderwood
Jana Messerschmidt,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recWiOyteQD8pXh5k"":[""Angel Network""]},""foreignRowIdOrder"":[""recWiOyteQD8pXh5k""]}","San Francisco, CA",https://www.crunchbase.com/person/jana-messerschmidt,https://www.linkedin.com/in/janamesserschmidt
Katie Stanton,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recWiOyteQD8pXh5k"":[""Angel Network""]},""foreignRowIdOrder"":[""recWiOyteQD8pXh5k""]}","San Francisco, CA",https://www.crunchbase.com/person/katie-jacobs-stanton,https://www.linkedin.com/in/katiestanton
Monique Woodard,Angel,"PoC, Female",[object Object],"{""valuesByForeignRowId"":{""recWiOyteQD8pXh5k"":[""Angel Network""]},""foreignRowIdOrder"":[""recWiOyteQD8pXh5k""]}","San Francisco, CA",https://www.crunchbase.com/person/monique-woodard,http://www.linkedin.com/in/moniquewoodard
Vijaya Gadde,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recWiOyteQD8pXh5k"":[""Angel Network""]},""foreignRowIdOrder"":[""recWiOyteQD8pXh5k""]}","San Francisco, CA",https://www.crunchbase.com/person/vijaya-gadde,http://www.linkedin.com/pub/vijaya-gadde/5/4a7/286
Chloe Sladden,Angel,Female,"[object Object], [object Object]","{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""],""recWiOyteQD8pXh5k"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs"",""recWiOyteQD8pXh5k""]}","San Francisco, CA",https://www.crunchbase.com/person/chloe-sladden,https://www.linkedin.com/in/chloesladden
Jin-Young Kim,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recZIjQZBkmcOs5v8"":[""Venture Capital""]},""foreignRowIdOrder"":[""recZIjQZBkmcOs5v8""]}","San Francisco, CA",https://www.crunchbase.com/person/jin-young-kim,http://www.linkedin.com/in/jinyoungsarah
Kimmy Scotti,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recZIjQZBkmcOs5v8"":[""Venture Capital""]},""foreignRowIdOrder"":[""recZIjQZBkmcOs5v8""]}","New York, NY",https://www.crunchbase.com/person/kimmy-scotti,https://www.linkedin.com/in/kimmyscotti/
Tracy Gray,Founder & Managing Partner,"PoC, Female",[object Object],"{""valuesByForeignRowId"":{""recm6Xm0ds4IYAUoM"":[""Venture Capital""]},""foreignRowIdOrder"":[""recm6Xm0ds4IYAUoM""]}","Los Angeles, CA",https://www.crunchbase.com/person/tracy-gray-2,https://www.linkedin.com/in/tracydgray/
