Full Name,Country,Notable Investments,Investment areas of interest,LinkedIn
 Claudia Baumgart,Germany ,"Animoca Brands, Refurbed, experify, circuly, Blaue Helden, Montredo, Zezam, Along, Atfinity",Retail and consumer tech (and adjacent),linkedin.com/in/claudiabaumgart
Agathi Galani,Greece,,,
Agnes Le Saux-Narjoz ,Belgium ,,,https://www.linkedin.com/in/agnes-le-saux-narjoz-99402a7/
Aino-Maija Haarla,Finland,,,https://www.linkedin.com/in/ainomaija-s-haarla-81a33645
Alessandra Piccinino ,Italy,,Diversified sectors ,http://linkedin.com/in/alessandra-piccinino-5b921821
Aletta Stas,Switzerland,,,https://www.linkedin.com/in/aletta-stas-bax/
Alexandra Morrow,United Kingdom,"Circe Biosciences, Root","Climate tech, food and ag tech, health tech, fem tech.",https://www.linkedin.com/in/alexandra-ali-morrow-6080735
Alice Bentinck,United Kingdom,"Supercritical, Koru Kids, Blue Vision Labs (plus the whole EF portfolio)",,https://www.linkedin.com/in/alicebentinck/
Amanda Dyjecinski,United Kingdom,,,https://www.linkedin.com/in/amandadyjecinski
Amanda Jones Floyd,United Kingdom,,"Marketplaces, consumer, gem tech, sustainability ",https://www.linkedin.com/in/amandajonesfloyd
Amber Ghaddar,United Kingdom,,"crypto, blockchain, fintech, deep tech, regtech, femtech, climatech, agritech, developers tools, gaming, circular economy, foodtech",https://www.linkedin.com/in/amberghaddar/
Ami Kotecha,United Kingdom,,Prop tech/Fin-tech/Green-Tech,https://www.linkedin.com/in/amikotechaamro/
Ana Barjasic,United Kingdom,,,https://www.linkedin.com/in/ana-barjasic/
Ana Paula Reis,Portugal,"Didimo, Colvin, Casafari, Psious, Impress, Ritmo, Kubbo, Legal Vision, Frenetic, Defined Crown, Zaask, etc.","Digital, Life Science, Clean Energy, Information Technologies and Marketplaces",https://pt.linkedin.com/in/apreis
Ana Wolsztajn,Czech Republic,,"B2B SaaS, healthtech, cleantech, femtech, silvertech",https://www.linkedin.com/in/anawolsztajn
Ana-Maria Yanakieva,United Kingdom,,,https://www.linkedin.com/in/ana-maria-yanakieva/
Andrea Berchowitz,United Kingdom,,,https://www.linkedin.com/in/andreaberchowitz/
Andrea Buhover,Switzerland,Equity Pitcher,Partner/MD,
Andrea Kranzer,Germany,,,https://www.linkedin.com/in/akranzer/
Andrea Sinclair,United Kingdom,,Female founders,https://www.linkedin.com/in/andreasinclair
Andrea Zitna,United Kingdom,,,https://www.linkedin.com/in/andrea-zitna-6900092/
Angela Montanari ,Italy,Doorway; Zakeke; Marshmellow Games; ACBC; My Secret Case; Chitè; Rejoint; AorticLab; Deesup,Biomedical; Tech (any); Impact,http://linkedin.com/in/angelamontanari
Angelika Burawska,United Kingdom,SFC Capital,Partner/MD,
Anika Chojnacka,Poland,,,http://linkedin.com/in/anikachojnacka
Anke Huiskes,Netherlands ,"Vaayu, Shellworks, Polar Night Energy",Climate tech ,https://www.linkedin.com/in/ankehuiskes/
Ann-Tho CHUONG DEGROOTE,France,,,https://www.linkedin.com/in/anhthochuong/
Anna Brandt,Netherlands ,"Vay, Lemon Markets, Social Handshake, Quan, Cobee",Future of Work; HRTech; Fintech,https://www.linkedin.com/in/annabrandt/
Anna Cichaszek,Germany,,,https://www.linkedin.com/in/anna-cichaszek-54a077107/
Anna De Stefano,Italy,"Genomeup, Yobs Technologies, StartupItalia","Impact, edtech, legaltech, digital, healthtech",www.Linkedin.com/in/annads 
Anna Maria Siccardi,Italy,"Genenta Science, MySecretCase, FitPrime, Fleep Technlogies",Digital ,https://www.linkedin.com/in/annasiccardi/
Anna Nordell Westling,Sweden,"Left or Right, Greta, Mobilimeet","Foodtech, Femtech, Edtech",https://www.linkedin.com/in/anna-nordell-westling/?originalSubdomain=se
Anna Podkowinska-Tretyn,Poland ,"Mindgram, Skriware, Sidly","Edtech, Medtech",https://www.linkedin.com/in/anna-podkowinska-tretyn-0998b6/
Annamaria Tartaglia,Italy,Renoon - Eligo Milano - DressYouCan - Palatò,Femtech + Foodtech + Fashiontech,https://www.linkedin.com/in/atartaglia/
Anne Worsoe,Norway,,,https://www.linkedin.com/in/anneworsoe/
Annegien Blokpoel ,Netherlands ,"Greenstory, Buywith, BitsofStock, Vurdere",,https://www.linkedin.com/in/annegienblokpoel/
Anniken Fjelberg,Norway,"Voisey, IndyRiot, Graphiq, Inzpire.me, Pexip, No Isolation, Feddie Distillery, Vibbio og Strise, Vaccibody, Quantafuel og Ascenium",Creative industries and female founders (but also much more),https://www.linkedin.com/in/anniken-fjelberg-31a5632/
Annukka Mickelsson,Finland,,,https://www.linkedin.com/in/annukkamickelsson
Antonella Grassigli,Italy,"Vitesy, pep therapy, renoon, ACBC, deliveristo,, rejoint, brots, Chite’, wall street football, mysecretcase, garanteasy  ",,HTTPS://www.linkedin.com/in/antonellagrassigli
Aurore Belfrage,Sweden,,,https://www.linkedin.com/in/aurorebelfrage/
Aytul Ercil,Turkey,,,https://www.linkedin.com/in/aytul-ercil-b833b43/
Beate Fastrich,Germany ,"Aeyde, gitti, medbelle, CheckYeti, Procuros, Vantis, one.five, 42Watt","Consumer, health tech, sustainability tech",https://www.linkedin.com/in/beate-fastrich-b2b15980/
Benedicte de Raphaelis Soisson,France,"Dalma, Gourmey, Claap",,https://www.linkedin.com/in/benedictederaphelissoissan/
Bérénice Magistretti,United Kingdom,"lagatta, HANX, The Joy Club","Femtech, consumer, Gen Z",https://www.linkedin.com/in/b%C3%A9r%C3%A9nice-magistretti-95218b26/
Beta Lucca,United Kingdom,"BeautyStack, Loveshark, Heights, Gwella, Fertility Circle","Consumer, Femtech, HealthTech, Gaming, female founders",https://www.linkedin.com/in/robertalucca/
Bri Cho,United Kingdom,"Odin, Honest Mobile, Maximus, etc.",Sector agnostic,https://www.linkedin.com/in/briannaycho/
Camille Bossel ,Switzerland,,,
Camille Kriebitzsch,France,,,https://www.linkedin.com/in/camille-kriebitzsch-8bb61251/?locale=en_US
